OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log
546.0,NonResidential,Warehouse,410 S Front Street,GREATER DUWAMISH,47.54853,-122.32814,1966,1.0,1.0,85400.0,0.0,85400.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,85400.0,Parking,11745.0,49.0,0.0,450468.4063,0.0,10.72,2.4612967841488667
26924.0,Nonresidential COS,Mixed Use Property,917 E Yesler Way,EAST,47.60153,-122.31986,2005,1.0,2.0,29508.0,7120.0,22388.0,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science, Parking, Pre-school/Daycare",Other - Recreation,14317.0,Fitness Center/Health Club/Gym,8183.0,73.0,0.0,232104.4063,14256.7998,81.24,4.409641801706855
21233.0,NonResidential,Other,13244 Aurora Avenue North,NORTHWEST,47.707374,-122.34338,2007,1.0,2.0,45000.0,0.0,45000.0,Other - Recreation,Other - Recreation,45000.0,Parking,11745.0,73.0,0.0,871532.375,29383.96875,176.79,5.18060307852848
349.0,NonResidential,Large Office,1191 2nd Avenue,DOWNTOWN,47.60614,-122.33674,1991,1.0,12.450000000000045,399875.050000001,88607.50000000001,339128.9,"Office, Parking",Office,339005.65000000026,Parking,95742.6500000001,95.0,180731.7969,5287365.0,0.0,139.72,4.946772100429302
19537.0,SPS-District K-12,K-12 School,3010 59th Ave S.W.,SOUTHWEST,47.5773,-122.3783225,1954,1.0,2.0,51489.0,0.0,51489.0,K-12 School,K-12 School,51489.0,Parking,11745.0,93.0,0.0,219894.9063,12337.8623,70.76,4.27332721775054
123.64999999999999,NonResidential,Hotel,724 Pine street,DOWNTOWN,47.61317,-122.33393,1996,1.0,11.0,103566.0,15064.0,88502.0,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,61.0,0.0,950425.1875,51450.81641,295.86,5.6932606471966185
180.0,NonResidential,Other,3802 S Othello St,GREATER DUWAMISH,47.537451,-122.28841249999999,2009,1.0,5.0,89821.0,0.0,89821.0,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,46483.0,Office,37938.0,73.0,0.0,61659.141209,18826.30859,100.46,4.6196646321385435
20000.0,NonResidential,Worship Facility,503 N 50TH ST,Northwest,47.66476,-122.35248,1928,1.0,2.0,45991.0,0.0,45991.0,Worship Facility,Worship Facility,45991.0,Parking,11745.0,77.0,0.0,155049.5,6165.070313,36.43,3.6224725219163374
49701.7,Nonresidential COS,Other,7400 Sand Point Way NE,NORTHEAST,47.68212,-122.28841249999999,1929,1.0,1.0,399875.050000001,0.0,339128.9,Other - Recreation,Other - Recreation,339005.65000000026,Parking,11745.0,73.0,0.0,2743225.0,65448.83886650005,549.11,6.310118258229183
21772.0,NonResidential,Small- and Mid-Sized Office,700 NW 42ns St,Ballard,47.65804,-122.36537,1999,1.0,4.0,28844.0,0.0,28844.0,"Office, Other",Office,14317.0,Other,10200.0,73.0,0.0,266916.3125,0.0,6.35,1.9947003132247452
26883.0,NonResidential,Other,153 14th Avenue,CENTRAL,47.60285,-122.31458,1908,1.0,3.0,25864.0,0.0,25864.0,"Office, Social/Meeting Hall",Social/Meeting Hall,14317.0,Office,8420.0,73.0,0.0,127068.8984,5947.179688,34.61,3.5726264972896864
26331.0,NonResidential,Small- and Mid-Sized Office,1501 N. 45th ST.,LAKE UNION,47.66117,-122.3391,1997,1.0,3.0,31686.0,7358.0,24328.0,"Food Service, Library, Office, Parking",Office,25927.0,Parking,6750.0,35.0,0.0,675745.375,0.0,16.07,2.837322536806349
26324.0,NonResidential,Senior Care Community,3540 NE 110th St,NORTH,47.707374,-122.28887,1954,1.0,1.0,22583.0,0.0,22583.0,Senior Care Community,Senior Care Community,22583.0,Parking,11745.0,95.0,0.0,217967.7031,12376.54004,70.92,4.275554390163365
24886.0,NonResidential,Small- and Mid-Sized Office,100 23RD AVE S,CENTRAL,47.60104,-122.30155,1971,1.0,2.0,39953.0,0.0,39953.0,Office,Office,30100.0,Parking,11745.0,93.0,0.0,330758.6875,3800.129883,28.05,3.3690184832979204
27532.0,NonResidential,Other,621 2nd Ave N,MAGNOLIA / QUEEN ANNE,47.62518,-122.35317,1948,1.0,2.0,30720.0,0.0,30720.0,"Office, Other, Parking",Other,28120.0,Parking,1600.0,73.0,0.0,141280.0,12010.16992,67.15,4.221711158142542
607.0,NonResidential,Supermarket / Grocery Store,9262 Rainier Ave,SOUTHEAST,47.537451,-122.28841249999999,2002,1.0,1.0,61053.0,0.0,61053.0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,54434.0,Parking,583.3999999999996,32.0,0.0,2483776.0,46585.80469,306.5,5.728475087246572
23930.0,NonResidential,Distribution Center,80 S Hudson Street,GREATER DUWAMISH,47.55945,-122.33601,1968,1.0,1.0,160000.0,0.0,160000.0,Distribution Center,Distribution Center,160000.0,Parking,11745.0,94.0,0.0,339383.5,0.0,8.07,2.2049722641270453
24624.0,NonResidential,University,3670 Stone Way N,LAKE UNION,47.65231,-122.34217,1940,1.0,2.0,41293.0,15243.0,26050.0,"College/University, Medical Office",College/University,26393.0,Medical Office,15000.0,73.0,0.0,566263.1875,9077.919922,61.68,4.13804241748782
26146.0,NonResidential,Small- and Mid-Sized Office,1725 Westlake Ave. N,MAGNOLIA / QUEEN ANNE,47.63439,-122.34078,1920,1.0,3.0,30109.0,0.0,30109.0,"Office, Parking",Office,28400.0,Parking,7200.0,89.0,0.0,278322.0,5161.609863,34.03,3.5562048372093953
19752.0,NonResidential,Worship Facility,2700 1st Ave,DOWNTOWN,47.61636,-122.35094,1948,1.0,2.0,21038.2,0.0,20920.0,Worship Facility,Worship Facility,20920.0,Parking,11745.0,15.0,0.0,83542.39844,7570.620117,42.19,3.7656089869726097
27838.0,NonResidential,Mixed Use Property,1600 E. Madison St.,EAST,47.61554,-122.31098,1998,1.0,5.0,53034.0,14625.0,38409.0,"Multifamily Housing, Parking, Supermarket/Grocery Store",Multifamily Housing,22486.0,Supermarket/Grocery Store,14257.0,93.0,0.0,613020.125,13005.04004,83.65,4.438525108579144
24629.0,NonResidential,Warehouse,5000 1st Ave. S,GREATER DUWAMISH,47.55718,-122.33288,1941,1.0,1.0,48890.0,0.0,48890.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,30889.0,Office,18000.0,49.0,0.0,317224.5938,10178.45996,61.6,4.136765278106052
27016.0,NonResidential,Small- and Mid-Sized Office,6363 7th Ave S.,GREATER DUWAMISH,47.54494,-122.32543,1969,1.0,1.0,35017.0,0.0,35017.0,"Non-Refrigerated Warehouse, Office, Parking",Office,19785.0,Non-Refrigerated Warehouse,10234.0,66.0,0.0,265132.1875,3908.540527,27.06,3.3343450746743146
