OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log,GFA_per_floor,Parking_ratio,Building_age_squared,Is_old_building,Size_floors,Age_size,Age_floors,GFA_sqrt,Floors_squared,Neighborhood_mean,Neighborhood_std,PrimaryPropertyType_mean,PrimaryPropertyType_std
20525.0,NonResidential,Distribution Center,1911 22nd Avenue S,GREATER DUWAMISH,47.58607,-122.30445,"Distribution Center, Office, Retail Store",Distribution Center,20736.0,Office,1250.0,73.0,0.0,63685.19922,2165.77002,13.02,2.640484881606444,23235.97676402324,0.0,3844,1,23236.0,1440632.0,62.0,152.43359209832983,1.0,3.5021939623231493,1.2671561408877454,3.3102624225812476,1.205387221548688
346.0,NonResidential,Large Office,1000 Second Avenue,DOWNTOWN,47.60567,-122.33511,"Office, Parking, Pre-school/Daycare",Office,339005.65000000026,Parking,95742.6500000001,84.0,0.0,6551398.275000007,0.0,171.52,5.150513171779642,32118.47533184934,0.22158796854111856,900,0,4978444.372500029,11996251.50000003,373.5000000000013,632.3567426698327,155.00250000000108,4.33905242153749,1.3718571608439065,4.929536101732507,0.8692448643013228
20836.0,NonResidential,Large Office,2825 Eastlake AVE E,LAKE UNION,47.6465,-122.3252,"Office, Other, Parking",Office,77796.0,Parking,55504.0,62.0,0.0,1378937.875,0.0,32.8,3.520460802488973,27547.5944904811,0.40296795364820914,961,0,688690.0,4269878.0,155.0,371.13070473891,25.0,4.1935172859006355,1.3505221170910435,4.929536101732507,0.8692448643013228
23313.0,NonResidential,Small- and Mid-Sized Office,1115 Columbia St,EAST,47.60819,-122.32282,Office,Office,19658.0,Parking,11745.0,69.0,762542.3125,141670.9063,0.0,62.23,4.146778872070522,7093.997635334121,0.0,3600,1,63846.0,1276920.0,180.0,145.88351517563592,9.0,4.224068175692096,1.3596665755260893,3.297269669658814,0.9073490338149458
21365.0,NonResidential,Medical Office,700 Broadway,EAST,47.60865416,-122.3205904,Medical Office,Medical Office,50000.0,Parking,11745.0,42.0,0.0,878757.3125,7369.880859,60.04,4.111529386976201,13038.328987223671,0.0,2809,1,117345.0,2073095.0,159.0,197.775124826152,9.0,4.224068175692096,1.3596665755260893,4.557738771436541,1.3455760875549025
482.0,NonResidential,Large Office,320 Westlake Ave. N.,LAKE UNION,47.62131,-122.33814,"Bank Branch, Office, Parking",Office,178628.0,Parking,95742.6500000001,97.0,0.0,2094799.75,3720.090332,69.59,4.256888491407381,50517.158247140294,0.29233461892395546,100,0,1818618.0,3031030.0,60.0,550.5479089053014,36.0,4.1935172859006355,1.3505221170910435,4.929536101732507,0.8692448643013228
20197.0,NonResidential,Worship Facility,6500 52nd Avenue South,SOUTHEAST,47.54362,-122.2884125,Worship Facility,Worship Facility,21732.0,Parking,11745.0,14.0,0.0,140433.5,3812.049805,23.59,3.202339856228101,10865.994567002715,0.0,2601,1,43464.0,1108332.0,102.0,147.41777369096306,4.0,3.8364002036202964,1.1819283182974878,3.3694042071465256,0.9190492773121226
432.0,Campus,Mixed Use Property,1904 Third Avenue,DOWNTOWN,47.61229,-122.33903,"Data Center, Office, Parking, Restaurant, Retail Store",Parking,155000.0,Office,95742.6500000001,73.0,845964.4437500031,4946369.5,0.0,418.9,6.040016587690148,25849.69741503026,0.0,10609,1,2584970.0,26625191.0,1030.0,508.4260024821705,100.0,4.33905242153749,1.3718571608439065,4.02240740070352,1.4535352529774157
22577.0,NonResidential,Distribution Center,1200-1210 West Nickerson st.,MAGNOLIA / QUEEN ANNE,47.65563,-122.37194,"Distribution Center, Non-Refrigerated Warehouse",Distribution Center,18229.0,Non-Refrigerated Warehouse,17200.0,89.0,0.0,81368.0,2423.842773,14.81,2.7606426512213806,18248.99087550456,0.0,3136,1,72996.0,2043888.0,112.0,191.04449743449823,4.0,3.935323358003718,1.285361666288839,3.3102624225812476,1.205387221548688
24726.0,NonResidential,Warehouse,1215 E Fir St,CENTRAL,47.60224,-122.31529,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,38000.0,Office,4000.0,73.0,0.0,177045.0,14659.28027,82.07,4.41968362585098,41999.958000042,0.0,3844,1,42000.0,2604000.0,62.0,204.93901531919198,1.0,3.835734022555626,1.1782890369252899,3.105404464515096,1.1998106393931918
27162.0,NonResidential,Supermarket / Grocery Store,4201 SW MORGAN ST,SOUTHWEST,47.54427,-122.3783225,Supermarket/Grocery Store,Supermarket/Grocery Store,31746.0,Parking,11745.0,22.0,0.0,1620309.625,31591.93555,206.33,5.334311726771412,33705.96629403371,0.0,324,0,33706.0,606708.0,18.0,183.59193882085347,1.0,4.034133919996902,1.2680730037486931,5.101079265288282,1.0380693811258503
622.0,NonResidential,Other,241 S Lander St,GREATER DUWAMISH,47.57941,-122.33131,"Distribution Center, Office, Other",Other,50500.0,Distribution Center,18000.0,73.0,0.0,499824.9063,22728.74023,132.6,4.894850261102546,38220.980889509556,0.0,3969,1,152884.0,4815846.0,126.0,276.4814641164937,4.0,3.5021939623231493,1.2671561408877454,4.282175547469136,1.3053288873026805
49701.7,Nonresidential COS,Other,719 8th Ave S,DOWNTOWN,47.59625,-122.32283,Other - Recreation,Other - Recreation,16000.0,Parking,11745.0,73.0,0.0,116221.0,5537.299805,32.17,3.501645852958961,21038.178961821042,0.0,144,0,21038.2,252458.40000000002,12.0,145.04551009941673,1.0,4.33905242153749,1.3718571608439065,4.282175547469136,1.3053288873026805
21057.0,NonResidential,Small- and Mid-Sized Office,600 N. 36th Street,LAKE UNION,47.65178,-122.351,"Multifamily Housing, Office, Parking, Retail Store",Office,24335.0,Parking,12400.0,73.0,0.0,249019.2031,1613.140015,14.49,2.740194654428777,9981.497504625624,0.3105745629336629,100,0,159704.0,399260.0,40.0,199.81491435826305,16.0,4.1935172859006355,1.3505221170910435,3.297269669658814,0.9073490338149458
404.0,NonResidential,Retail Store,501 Pine Street,DOWNTOWN,47.61159,-122.33601,"Office, Retail Store",Retail Store,35694.0,Office,29723.0,25.0,0.0,1539311.375,0.0,36.61,3.627269972482245,19989.24500268875,0.0,10404,1,319828.0,8155614.0,408.0,282.766688278517,16.0,4.33905242153749,1.3718571608439065,3.744426120780442,1.2589650944883464
22259.0,NonResidential,Mixed Use Property,1148 NW Leary Way,BALLARD,47.66389,-122.37307,"Non-Refrigerated Warehouse, Other, Retail Store",Other,14840.0,Retail Store,9400.0,73.0,0.0,68761.20313,7009.669434,38.86,3.685373314784649,15569.992215003891,0.0,11236,1,62280.0,3300840.0,212.0,176.4652940382329,4.0,3.912910514987732,1.2339019117506258,4.02240740070352,1.4535352529774157
329.0,NonResidential,Large Office,1700 Seventh,DOWNTOWN,47.61399,-122.33523,"Office, Parking, Restaurant",Office,339005.65000000026,Parking,95742.6500000001,90.0,0.0,6551398.275000007,31014.76953,359.11,5.88640954033312,32118.47533184934,0.22158796854111856,256,0,4978444.372500029,6398000.800000016,199.2000000000007,632.3567426698327,155.00250000000108,4.33905242153749,1.3718571608439065,4.929536101732507,0.8692448643013228
